timestamp,open,high,low,close,volume
1766930040,87908.5,87908.5,87901.5,87901.5,0.325533
1766930100,87901.5,87901.6,87888.8,87888.9,0.707432
1766930160,87888.9,87891.4,87888.1,87891.4,2.492013
1766930220,87891.4,87899.5,87891.3,87898.1,1.148331
1766930280,87898.1,87920.0,87898.0,87911.4,3.794907
1766930340,87911.4,87911.5,87890.3,87903.2,4.302845
1766930400,87903.2,87916.6,87903.2,87916.5,1.121578
1766930460,87916.5,87939.4,87916.5,87939.3,3.756641
1766930520,87939.3,87986.5,87939.3,87981.6,6.320802
1766930580,87981.6,87981.6,87972.6,87973.0,3.748909
1766930640,87973.0,87984.7,87962.9,87984.6,4.482452
1766930700,87984.6,87986.1,87952.9,87962.5,7.714384
1766930760,87962.5,87977.6,87962.4,87977.6,1.477849
1766930820,87977.6,87980.3,87977.6,87980.2,0.208767
1766930880,87980.2,87980.3,87979.2,87979.2,1.550059
1766930940,87979.2,87987.8,87979.2,87987.7,1.366222
1766931000,87987.7,87992.2,87987.7,87989.3,1.972276
1766931060,87989.3,87990.0,87971.8,87971.8,3.693505
1766931120,87971.8,87982.4,87968.8,87982.3,1.819887
1766931180,87982.3,87982.4,87978.0,87978.0,1.175393
1766931240,87978.0,87978.1,87972.0,87972.3,2.340124
1766931300,87972.3,87972.4,87972.3,87972.3,0.078441
1766931360,87972.3,87982.3,87972.3,87978.3,3.121938
1766931420,87978.3,87978.4,87970.0,87970.0,0.808548
1766931480,87970.0,87973.6,87970.0,87973.5,2.17218
1766931540,87973.5,87973.6,87973.0,87973.1,2.189708
1766931600,87973.1,87973.1,87973.0,87973.0,0.18046
1766931660,87973.0,87984.7,87973.0,87984.7,2.283894
1766931720,87984.7,87984.7,87973.0,87973.0,3.160406
1766931780,87973.0,87973.1,87923.9,87924.0,4.416604
1766931840,87924.0,87943.2,87924.0,87943.2,2.442472
1766931900,87943.2,87946.6,87943.1,87946.6,0.871755
1766931960,87946.6,87953.2,87946.6,87953.2,0.14603
1766932020,87953.2,87972.3,87953.2,87972.3,0.158413
1766932080,87972.3,87972.3,87972.2,87972.2,0.052198
1766932140,87972.2,87981.3,87972.2,87981.3,0.890625
1766932200,87981.3,87981.3,87981.2,87981.2,0.065744
1766932260,87981.2,87981.3,87981.2,87981.2,0.225865
1766932320,87981.2,87981.3,87953.1,87953.1,4.301632
1766932380,87953.1,87953.1,87939.6,87950.6,3.696572
1766932440,87950.6,87961.1,87950.6,87961.1,1.641174
1766932500,87961.1,87961.1,87958.2,87958.2,1.157528
1766932560,87958.2,87965.6,87958.2,87965.5,1.456552
1766932620,87965.5,87965.6,87965.5,87965.5,0.071837
1766932680,87965.5,87978.4,87965.5,87978.3,1.208761
1766932740,87978.3,87978.4,87970.2,87970.2,1.002089
1766932800,87970.2,87975.6,87970.2,87975.6,2.075631
1766932860,87975.6,88095.0,87975.5,88095.0,11.056056
1766932920,88095.0,88095.3,87961.0,87962.5,15.170923
1766932980,87962.5,87999.9,87962.5,87991.4,4.18361
1766933040,87991.4,87991.5,87986.9,87991.5,1.952746
1766933100,87991.5,88022.1,87991.5,88002.4,7.682765
1766933160,88002.4,88022.1,88000.0,88007.2,5.996392
1766933220,88007.2,88014.4,87998.2,87998.2,3.432244
1766933280,87998.2,88019.1,87998.2,88007.1,6.191722
1766933340,88007.1,88018.4,87997.1,87997.1,4.5746
1766933400,87997.1,88004.3,87979.3,87979.4,5.759734
1766933460,87979.4,87986.4,87979.3,87986.4,1.738081
1766933520,87986.4,87994.0,87984.7,87994.0,1.341426
1766933580,87994.0,87994.0,87970.7,87970.7,1.842594
1766933640,87970.7,87970.7,87928.1,87936.7,3.607896
1766933700,87936.7,87936.7,87931.9,87931.9,2.272751
1766933760,87931.9,87931.9,87931.8,87931.9,1.488322
1766933820,87931.9,87934.3,87931.8,87933.3,2.291085
1766933880,87933.3,87933.3,87911.1,87911.2,5.947462
1766933940,87911.2,87917.7,87911.1,87915.5,4.095836
1766934000,87915.5,87915.5,87865.0,87882.4,9.882382
1766934060,87882.4,87901.5,87882.4,87901.5,0.47661
1766934120,87901.5,87926.9,87901.5,87926.8,3.507213
1766934180,87926.8,87939.1,87926.8,87926.9,3.150313
1766934240,87926.9,87950.6,87926.8,87950.5,3.917131
1766934300,87950.5,87978.0,87950.5,87977.9,4.873239
1766934360,87977.9,87985.5,87944.8,87944.9,4.951133
1766934420,87944.9,87961.7,87933.4,87943.1,4.941698
1766934480,87943.1,87943.2,87943.1,87943.2,0.31825
1766934540,87943.2,87950.0,87943.1,87950.0,0.658225
1766934600,87950.0,87990.6,87949.9,87990.6,0.780776
1766934660,87990.6,87994.4,87962.6,87962.7,3.204144
1766934720,87962.7,87978.1,87962.7,87970.4,3.266272
1766934780,87970.4,87977.5,87970.3,87977.5,1.240568
1766934840,87977.5,87977.5,87970.5,87970.6,2.21676
1766934900,87970.6,87997.6,87970.6,87991.2,5.240211
1766934960,87991.2,87995.6,87991.2,87995.5,1.837912
1766935020,87995.5,87995.5,87987.4,87987.7,0.713765
1766935080,87987.7,87990.4,87987.7,87990.4,0.785774
1766935140,87990.4,87990.4,87986.2,87986.2,1.339683
1766935200,87986.2,87986.3,87978.2,87982.7,4.031403
1766935260,87982.7,88003.4,87970.7,87971.2,7.319921
1766935320,87971.2,87971.3,87964.2,87966.8,2.00166
1766935380,87966.8,87966.9,87966.8,87966.8,0.080416
1766935440,87966.8,87966.9,87946.4,87946.4,2.167865
1766935500,87946.4,87960.5,87945.6,87960.4,3.005554
1766935560,87960.4,87960.5,87960.4,87960.4,0.94373
1766935620,87960.4,87975.6,87960.4,87975.6,1.25579
1766935680,87975.6,87975.6,87954.7,87954.7,3.310398
1766935740,87954.7,87960.6,87954.7,87960.5,1.676638
1766935800,87960.5,87960.6,87933.7,87933.8,2.598668
1766935860,87933.8,87940.2,87933.7,87940.2,1.951357
1766935920,87940.2,87940.2,87935.4,87935.5,2.572317
1766935980,87935.5,87935.5,87930.5,87930.5,1.178765
1766936040,87930.5,87930.5,87906.8,87906.8,1.807167
1766936100,87906.8,87911.7,87904.5,87911.7,2.672532
1766936160,87911.7,87911.7,87911.6,87911.7,0.092432
1766936220,87911.7,87911.7,87911.6,87911.7,0.118724
1766936280,87911.7,87925.2,87911.6,87925.2,2.894616
1766936340,87925.2,87939.6,87925.1,87939.6,1.026423
1766936400,87939.6,87939.6,87921.2,87927.1,2.608991
1766936460,87927.1,87927.1,87927.0,87927.1,0.060981
1766936520,87927.1,87927.1,87927.0,87927.1,0.087781
1766936580,87927.1,87928.5,87927.1,87928.5,1.180035
1766936640,87928.5,87928.5,87928.4,87928.5,0.386654
1766936700,87928.5,87928.5,87928.4,87928.5,0.080679
1766936760,87928.5,87940.6,87928.4,87940.5,2.848578
1766936820,87940.5,87940.6,87940.5,87940.5,0.088593
1766936880,87940.5,87940.6,87940.5,87940.5,0.10698
1766936940,87940.5,87940.6,87940.5,87940.5,0.192749
1766937000,87940.5,87956.9,87940.5,87956.8,1.234842
1766937060,87956.8,87962.3,87956.8,87962.2,0.375316
1766937120,87962.2,87962.3,87930.0,87930.0,4.494771
1766937180,87930.0,87930.0,87868.6,87884.7,7.595145
1766937240,87884.7,87884.8,87840.8,87840.8,3.696798
1766937300,87840.8,87873.9,87825.0,87873.8,4.685332
1766937360,87873.8,87873.9,87870.8,87870.8,1.308778
1766937420,87870.8,87870.9,87865.7,87865.7,1.378678
1766937480,87865.7,87865.7,87835.0,87835.0,0.984105
1766937540,87835.0,87836.0,87835.0,87835.9,1.343839
1766937600,87835.9,87849.5,87835.9,87849.5,1.734726
1766937660,87849.5,87849.5,87831.4,87831.4,2.44737
1766937720,87831.4,87831.5,87828.2,87828.3,0.264554
1766937780,87828.3,87841.4,87828.2,87841.4,2.935403
1766937840,87841.4,87865.5,87841.4,87865.4,2.057288
1766937900,87865.4,87874.1,87865.4,87874.1,2.88277
1766937960,87874.1,87897.6,87863.2,87863.2,7.236162
1766938020,87863.2,87870.0,87855.1,87855.2,2.736648
1766938080,87855.2,87864.9,87855.1,87864.9,2.855333
1766938140,87864.9,87864.9,87864.8,87864.8,0.056741
1766938200,87864.8,87864.9,87861.0,87861.1,1.295832
1766938260,87861.1,87863.7,87856.0,87863.7,1.04793
1766938320,87863.7,87863.7,87856.1,87858.9,2.412672
1766938380,87858.9,87859.0,87843.5,87843.6,2.238716
1766938440,87843.6,87862.5,87843.5,87862.5,2.951801
1766938500,87862.5,87868.9,87862.4,87868.9,0.482331
1766938560,87868.9,87868.9,87868.8,87868.8,0.084209
1766938620,87868.8,87868.9,87868.8,87868.9,0.086691
1766938680,87868.9,87882.4,87868.8,87882.3,1.405015
1766938740,87882.3,87897.5,87882.3,87884.0,4.102786
1766938800,87884.0,87884.0,87883.9,87884.0,2.037447
1766938860,87884.0,87884.0,87874.0,87874.0,1.28501
1766938920,87874.0,87874.0,87858.2,87858.2,1.482004
1766938980,87858.2,87858.2,87830.8,87830.9,1.888848
1766939040,87830.9,87830.9,87765.1,87772.4,7.401449
1766939100,87772.4,87772.5,87727.2,87766.2,12.237652
1766939160,87766.2,87849.6,87766.2,87799.2,16.951796
1766939220,87799.2,87799.3,87799.2,87799.2,0.26858
1766939280,87799.2,87799.3,87765.8,87786.8,5.747857
1766939340,87786.8,87786.9,87775.2,87778.4,3.432456
1766939400,87778.4,87811.7,87778.3,87806.9,4.348664
1766939460,87806.9,87820.5,87804.4,87808.4,7.299808
1766939520,87808.4,87808.5,87804.8,87804.8,1.230126
1766939580,87804.8,87815.9,87804.8,87815.8,3.231454
1766939640,87815.8,87815.9,87815.8,87815.8,0.164885
1766939700,87815.8,87815.9,87798.7,87798.7,1.391554
1766939760,87798.7,87819.8,87798.7,87819.7,2.114771
1766939820,87819.7,87833.5,87819.7,87833.5,0.82195
1766939880,87833.5,87833.5,87804.5,87804.5,13.052715
1766939940,87804.5,87804.6,87804.5,87804.5,0.08525
1766940000,87804.5,87811.4,87804.5,87811.3,1.084327
1766940060,87811.3,87824.0,87811.3,87823.9,0.916579
1766940120,87823.9,87824.0,87823.9,87824.0,0.08513
1766940180,87824.0,87827.2,87823.9,87827.2,0.461224
1766940240,87827.2,87827.2,87806.6,87806.6,1.803679
1766940300,87806.6,87806.7,87806.6,87806.7,0.151226
1766940360,87806.7,87833.5,87806.7,87833.5,2.468862
1766940420,87833.5,87833.5,87833.4,87833.5,0.196352
1766940480,87833.5,87833.5,87833.4,87833.5,0.081649
1766940540,87833.5,87833.5,87833.4,87833.5,0.242184
1766940600,87833.5,87833.5,87833.4,87833.5,1.133204
1766940660,87833.5,87835.1,87833.4,87835.1,1.085137
1766940720,87835.1,87835.1,87835.0,87835.1,0.041389
1766940780,87835.1,87835.1,87835.0,87835.0,0.077098
1766940840,87835.0,87835.1,87835.0,87835.1,0.065816
1766940900,87835.1,87835.1,87815.9,87819.2,2.026979
1766940960,87819.2,87822.0,87819.1,87821.9,1.750208
1766941020,87821.9,87822.0,87819.9,87820.0,0.886536
1766941080,87820.0,87820.0,87819.9,87819.9,0.318239
1766941140,87819.9,87820.0,87819.9,87820.0,0.045447
1766941200,87820.0,87820.0,87819.9,87819.9,0.039375
1766941260,87819.9,87830.0,87819.9,87829.9,1.418408
1766941320,87829.9,87830.0,87825.9,87826.0,0.691929
1766941380,87826.0,87826.0,87825.9,87825.9,0.157144
1766941440,87825.9,87850.3,87825.9,87850.2,2.799768
1766941500,87850.2,87850.2,87824.8,87831.2,2.480879
1766941560,87831.2,87831.3,87831.2,87831.2,0.059707
1766941620,87831.2,87831.3,87831.2,87831.2,0.066505
1766941680,87831.2,87852.6,87831.2,87852.6,1.486813
1766941740,87852.6,87852.7,87852.6,87852.6,0.093253
1766941800,87852.6,87888.9,87852.6,87888.8,2.287299
1766941860,87888.8,87891.0,87888.8,87891.0,1.239546
1766941920,87891.0,87891.3,87881.0,87881.1,2.333847
1766941980,87881.1,87888.3,87881.1,87888.2,0.868358
1766942040,87888.2,87900.0,87888.2,87900.0,0.923201
1766942100,87900.0,87910.0,87900.0,87906.5,2.484884
1766942160,87906.5,87920.0,87906.5,87920.0,1.425727
1766942220,87920.0,87924.0,87919.9,87923.9,0.21373
1766942280,87923.9,87930.1,87920.0,87920.1,3.181085
1766942340,87920.1,87920.1,87890.9,87891.0,1.506718
1766942400,87891.0,87891.0,87888.3,87888.4,0.058713
1766942460,87888.4,87912.2,87888.3,87912.2,2.186385
1766942520,87912.2,87912.2,87911.1,87911.2,0.433281
1766942580,87911.2,87911.2,87899.1,87899.2,2.216961
1766942640,87899.2,87920.1,87887.6,87920.1,3.911478
1766942700,87920.1,87920.1,87901.9,87902.0,2.176025
1766942760,87902.0,87902.0,87894.0,87894.0,0.95548
1766942820,87894.0,87894.1,87894.0,87894.1,0.065062
1766942880,87894.1,87894.1,87894.0,87894.0,0.092238
1766942940,87894.0,87894.1,87894.0,87894.0,0.10065
1766943000,87894.0,87894.1,87890.2,87890.2,0.245419
1766943060,87890.2,87890.3,87859.8,87873.0,5.483981
1766943120,87873.0,87874.5,87827.1,87830.8,6.451904
1766943180,87830.8,87837.0,87825.2,87825.2,1.235782
1766943240,87825.2,87825.3,87818.9,87819.0,1.184883
1766943300,87819.0,87819.0,87818.9,87818.9,0.111555
1766943360,87818.9,87819.0,87818.9,87818.9,0.098093
1766943420,87818.9,87819.0,87818.9,87819.0,0.137947
1766943480,87819.0,87823.7,87818.9,87823.6,1.684071
1766943540,87823.6,87830.0,87813.7,87813.8,2.290659
1766943600,87813.8,87813.8,87813.7,87813.8,0.11527
1766943660,87813.8,87813.8,87813.7,87813.8,0.090347
1766943720,87813.8,87813.8,87813.7,87813.8,1.17964
